EventId,EventTemplate,Occurrences
510716c7,<*> <*>:af:<*>:<*>:d0:<*> LAPTOP-2J2TAESC,3
2e6496d2,ac:<*>:6a:<*>:9f:f<*>,1
446bad2b,<*> ac:<*>:6a:<*>:9f:f<*>,3
2d5834bb,<*> <*>:<*>:2e:<*>:<*>:<*>,3
c6b28e1d,<*> <*>:<*>:2e:<*>:<*>:<*> TABLET-HGGQ7B6Q,3
2e086bd4,9a:<*>:<*>:ac:<*>:3d,1
47ced32c,<*> ae:2a:<*>:<*>:3c:a<*>,1
a6526b13,<*> ae:2a:<*>:<*>:3c:a8 iPhone,1
fa500db3,<*> <*>:<*>:7f:6f:eb:c<*>,1
dc90403c,<*> <*>:<*>:7f:6f:eb:c2 DESKTOP-CJUO5I<*>,1
b9d9e427,f6:<*>:<*>:5a:e5:a<*>,1
2d9b7d5b,<*> f6:<*>:<*>:5a:e5:a<*>,3
cc1e79e2,ca:6c:<*>:b4:7f:<*>,2
855bc1bb,<*> ca:6c:<*>:b4:7f:<*>,3
021063fc,<*> ca:6c:<*>:b4:7f:<*> iPhone,1
5af099a0,<*> a6:dc:4c:<*>:5b:<*>,2
516ada1c,<*> <*>:5f:4f:ab:af:<*>,8
da38ce8c,ea:ff:<*>:bb:c9:<*>,9
ee2a3124,<*> ea:ff:<*>:bb:c9:<*>,34
2b49bd70,<*> ea:ff:<*>:bb:c9:<*> OPPO-A16k,24
2ca5107f,<*> 9c:1c:<*>:e5:4d:cf,11
c9ab2ff7,<*> 9c:1c:<*>:e5:4d:cf <*>,11
171a3253,<*> <*>:<*>:<*>:<*>:<*>:3a,72
8a5564a8,<*> 0a:af:1b:a9:1d:ff,4
912c3de0,3c:f5:<*>:<*>:b2:<*>,3
f94a3aa5,<*> 3c:f5:<*>:<*>:b2:<*>,14
e7bdb3a7,<*> 3c:f5:<*>:<*>:b2:<*> android-1d93372113e6b6b<*>,10
88f01700,<*> <*>:dd:f6:ff:<*>:ba,13
c6cfd809,<*> <*>:dd:f6:ff:<*>:ba Phuong-s-A<*>,13
fc945c48,a6:<*>:cc:5f:9e:6a,4
3a0d1108,<*> a6:<*>:cc:5f:9e:6a,15
ba862082,<*> a6:<*>:cc:5f:9e:6a iPhone,11
10b76de9,62:<*>:d0:4a:<*>:ff,3
dadaee5f,<*> <*>:<*>:d0:4a:<*>:ff,4
b808e574,<*> <*>:<*>:d0:4a:<*>:ff BTKR-W<*>,1
